id,source_culture,target_culture,genre,content_similarity,target_culture_signal,adaptation_depth,lexical_shift,stereotype_risk,composite_score
eecc-story-0001,global_generic,north_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0002,global_generic,south_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0003,global_generic,east_region,story,0.7178,0.6316,0.0833,0.2778,0.0,0.5536
eecc-story-0004,global_generic,west_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0005,global_generic,central_region,story,0.7178,0.6316,0.0833,0.2778,0.0,0.5536
eecc-story-0006,global_generic,northeast_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0007,global_generic,north_region,story,0.7178,0.6316,0.0833,0.2778,0.0,0.5536
eecc-story-0008,global_generic,south_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0009,global_generic,east_region,story,0.7178,0.6316,0.0833,0.2778,0.0,0.5536
eecc-story-0010,global_generic,west_region,story,0.7474,0.6,0.0833,0.25,0.0,0.5533
eecc-story-0011,global_generic,central_region,story,0.7178,0.6316,0.0833,0.2778,0.0,0.5536
eecc-story-0012,global_generic,northeast_region,story,0.7178,0.6316,0.0833,0.2778,0.0,0.5536
eecc-story-0013,global_generic,north_region,story,0.7178,0.6667,0.0833,0.2778,0.0,0.5624
eecc-story-0014,global_generic,south_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0015,global_generic,east_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0016,global_generic,west_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0017,global_generic,central_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0018,global_generic,northeast_region,story,0.7178,0.6667,0.0833,0.2778,0.0,0.5624
eecc-story-0019,global_generic,north_region,story,0.7178,0.6316,0.0833,0.2778,0.0,0.5536
eecc-story-0020,global_generic,south_region,story,0.7335,0.6,0.0833,0.2632,0.0,0.5497
eecc-story-0021,global_generic,east_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0022,global_generic,west_region,story,0.7178,0.6316,0.0833,0.2778,0.0,0.5536
eecc-story-0023,global_generic,central_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0024,global_generic,northeast_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0025,global_generic,north_region,story,0.7178,0.6316,0.0833,0.2778,0.0,0.5536
eecc-story-0026,global_generic,south_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0027,global_generic,east_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0028,global_generic,west_region,story,0.7335,0.6,0.0833,0.2632,0.0,0.5497
eecc-story-0029,global_generic,central_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0030,global_generic,northeast_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0031,global_generic,north_region,story,0.7178,0.6316,0.0833,0.2778,0.0,0.5536
eecc-story-0032,global_generic,south_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0033,global_generic,east_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0034,global_generic,west_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0035,global_generic,central_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0036,global_generic,northeast_region,story,0.7178,0.6316,0.0833,0.2778,0.0,0.5536
eecc-story-0037,global_generic,north_region,story,0.7178,0.6667,0.0833,0.2778,0.0,0.5624
eecc-story-0038,global_generic,south_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0039,global_generic,east_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0040,global_generic,west_region,story,0.7335,0.6316,0.0833,0.2632,0.0,0.5576
eecc-story-0041,global_generic,central_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0042,global_generic,northeast_region,story,0.7335,0.6,0.0833,0.2632,0.0,0.5497
eecc-story-0043,global_generic,north_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0044,global_generic,south_region,story,0.7335,0.6,0.0833,0.2632,0.0,0.5497
eecc-story-0045,global_generic,east_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0046,global_generic,west_region,story,0.7335,0.6,0.0833,0.2632,0.0,0.5497
eecc-story-0047,global_generic,central_region,story,0.7474,0.6,0.0833,0.25,0.0,0.5533
eecc-story-0048,global_generic,northeast_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0049,global_generic,north_region,story,0.7178,0.6667,0.0833,0.2778,0.0,0.5624
eecc-story-0050,global_generic,south_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0051,global_generic,east_region,story,0.7335,0.6,0.0833,0.2632,0.0,0.5497
