method,source_culture,target_culture,composite_score
llm_adaptation,south_region,northeast_region,0.6414
llm_adaptation,west_region,northeast_region,0.6375500000000001
llm_adaptation,central_region,south_region,0.6359250000000001
llm_adaptation,west_region,north_region,0.6349
llm_adaptation,south_region,central_region,0.6329
llm_adaptation,west_region,east_region,0.62875
llm_adaptation,south_region,east_region,0.6287
llm_adaptation,south_region,west_region,0.628525
llm_adaptation,north_region,west_region,0.627875
llm_adaptation,northeast_region,south_region,0.62705
llm_adaptation,north_region,south_region,0.625325
llm_adaptation,west_region,south_region,0.624675
llm_adaptation,east_region,central_region,0.624625
llm_adaptation,east_region,south_region,0.6226
llm_adaptation,central_region,east_region,0.6221749999999999
llm_adaptation,east_region,northeast_region,0.6218
llm_adaptation,north_region,northeast_region,0.6217
llm_adaptation,northeast_region,north_region,0.6169
llm_adaptation,east_region,north_region,0.614475
llm_adaptation,central_region,northeast_region,0.61435
llm_adaptation,northeast_region,central_region,0.6062
llm_adaptation,south_region,north_region,0.60545
llm_adaptation,east_region,west_region,0.6009249999999999
llm_adaptation,north_region,east_region,0.599675
llm_adaptation,central_region,west_region,0.5984499999999999
llm_adaptation,central_region,north_region,0.597825
llm_adaptation,west_region,central_region,0.597325
llm_adaptation,northeast_region,east_region,0.59615
llm_adaptation,northeast_region,west_region,0.593825
llm_adaptation,north_region,central_region,0.591325
